ERYTHROMYCIN CAPSULES 250MG K,medicine_showdetail.php?sn=A000106100
SINTON TABLETS 375MG NAPROXEN 'CHIN TENG',medicine_showdetail.php?sn=A034105100
AMANTADINE F.C. TAB,medicine_showdetail.php?sn=A034110100
BETAHISTANE TABLETS,medicine_showdetail.php?sn=A034111100
LOPETIN CAPSULES 2M,medicine_showdetail.php?sn=A034112100
WEIZIP TABLETS 500M,medicine_showdetail.php?sn=A034120100
NOCA TABLETS 15MG,medicine_showdetail.php?sn=A034144100
PAINIL TABLETS 50MG FLURBIPROFEN,medicine_showdetail.php?sn=A034145100
VILLFULL TABLETS 5MG NORETHINDRONE,medicine_showdetail.php?sn=A034151100
CERETAL S.C. TAB. 400MG PENTOXIFYLLINE 'S.T.',medicine_showdetail.php?sn=A034157100
ANCONIN TABLETS 60MG TERFENADINE 'S.C',medicine_showdetail.php?sn=A034170100
FOAN CAPSULES 10MG OXAZOLAM 'S.C',medicine_showdetail.php?sn=A034171100
IBUFEN TABLETS 400MG IBUPROFEN 'CURIE',medicine_showdetail.php?sn=A034179100
MACLOFEN TABLETS 10MG BACLOFEN 'S.S.P.',medicine_showdetail.php?sn=A034238100
SUSA TABLETS 2.5MG FENOTEROL 'H.S.',medicine_showdetail.php?sn=A034240100
CORIN,medicine_showdetail.php?sn=A034244100
WEAN TABLETS 400MG,medicine_showdetail.php?sn=A034275100
VILI TABLETS S.D.,medicine_showdetail.php?sn=A034285100
TENSOLIN TABLET Y.S,medicine_showdetail.php?sn=A034300100
RECALM TABLETS 'STANDARD',medicine_showdetail.php?sn=A034314100
COWEMIN TABLETS 300,medicine_showdetail.php?sn=A034323100
ANCOUGH TABLETS 20M,medicine_showdetail.php?sn=A034330100
ASTEMIN 10MG TABLETS ASTEMIZOLE 'STANDARD',medicine_showdetail.php?sn=A034340100
SUTONIN TABLET 10MG,medicine_showdetail.php?sn=A034346100
TAIMACON TABLETS,medicine_showdetail.php?sn=A034347100
ANNEUTON TABLETS 80MG GLICLAZIDE 'ROOT',medicine_showdetail.php?sn=A034348100
DAIL TABLET 80MG GLICLAZIDE 'SINTON',medicine_showdetail.php?sn=A034350100
DICLOFENAC TABLET 25MG 'SINTON',medicine_showdetail.php?sn=A034356100
DEFEN CAPSULE 1MG KETOTIFEN 'PURZER',medicine_showdetail.php?sn=A034358100
STERMIN F.C. TABLETS 100MG ATENOLOL S.T.,medicine_showdetail.php?sn=A034359100
OXYBAN TABLETS 5MG,medicine_showdetail.php?sn=A034366100
PAWEGON 200MG TABLE,medicine_showdetail.php?sn=A034504100
LISUMEN CAPSULE 30MG FLURAZEPAM 'SINTON',medicine_showdetail.php?sn=A034511100
AMOXICILLIN 500MG C,medicine_showdetail.php?sn=A034523100
ERY-B E.C. CAPSULES,medicine_showdetail.php?sn=A034528100
DAIPIN FILM COATED TABLETS 1MG N-METHYLSCOPOLAMINE METHYLSULFATE,medicine_showdetail.php?sn=A034530100
SOLOFEN TABLETS 10MG BACLOFEN,medicine_showdetail.php?sn=A034534100
MEGLUMINE TABLETS 500MG METFORMIN 'S.S.P.',medicine_showdetail.php?sn=A034549100
GLUPIZIDE TABLETS 5MG GLIPIZIDE 'S.S.P.',medicine_showdetail.php?sn=A034550100
SULIMEN TABLETS 100MG SULINDAC 'KOJAR',medicine_showdetail.php?sn=A034551100
SOU-AN CAPSULES CH,medicine_showdetail.php?sn=A034556100
BROSOU TABLETS 20MG,medicine_showdetail.php?sn=A034558100
KETOTIFEN TABLETS 1MG 'CHINTENG',medicine_showdetail.php?sn=A034559100
ULCERMINE TABLETS,medicine_showdetail.php?sn=A034565100
SUCRATE TABLETS 500,medicine_showdetail.php?sn=A034575100
VIRLESS TABLETS 200,medicine_showdetail.php?sn=A034583100
KENERLIN TABLET 1MG KETOTIFEN 'SINTON',medicine_showdetail.php?sn=A034597100
CAPTROL TABLET 25MG CAPTOPRIL PURZER,medicine_showdetail.php?sn=A034598100
RELAC TABLETS 5MG BUSPIRONE 'UNION',medicine_showdetail.php?sn=A034610100
MODRON TABLETS 50MG ORPHENADRINE 'TAI YU',medicine_showdetail.php?sn=A034613100
GLUTROL TABLET 5MG GLIPIZIDE 'PURZER',medicine_showdetail.php?sn=A034621100
BAFEN 10MG TABLETS BACLOFEN,medicine_showdetail.php?sn=A034637100
SERADASE E.C. TABLE,medicine_showdetail.php?sn=A034657100
ME DROLINE 50MG S.C. TABLETS MEBHYDROLIN 'C.H.',medicine_showdetail.php?sn=A034658100
FOLACIN F.C. TABLETS 5MG FOLIC ACID 'JOHNSON',medicine_showdetail.php?sn=A034670100
CORGARD TABLETS 80MG NADOLOL,medicine_showdetail.php?sn=A034735100
GLICALIN TABLETS 80MG GLICLAZIDE 'KOJAR',medicine_showdetail.php?sn=A034736100
CAPOTEN TABLETS 25MG CAPTOPRIL,medicine_showdetail.php?sn=A034754100
MYCOSTATIN SUGAR CO,medicine_showdetail.php?sn=A034756100
DURACEF CAPSULES 50,medicine_showdetail.php?sn=A034763100
MEDRONE TABLETS 10MG 'WEIDAR' MEDROXYPROGESTERONE,medicine_showdetail.php?sn=A034799100
IPROFEN TABLETS 400MG IBUPROFEN 'S.S.P.',medicine_showdetail.php?sn=A034804100
FORPHEN FILM COATED TABLETS 100MG FLURBIPROFEN 'YUNG SHIN',medicine_showdetail.php?sn=A034806100
'EVEREST' SAN LIH ANTI-COLD CAPSULES,medicine_showdetail.php?sn=A034818100
ANLITON TABLETS 500MG ACETAMINOPHEN 'EVEREST',medicine_showdetail.php?sn=A034819100
URIDRON F.C. TABLET,medicine_showdetail.php?sn=A034824100
BENKORINE TABLETS 2,medicine_showdetail.php?sn=A034829100
BENKORINE TABLETS 2,medicine_showdetail.php?sn=A034829100
LEXOTAN TABLETS 6MG BROMAZEPAM,medicine_showdetail.php?sn=A034846100
LEXOTAN TABLETS 3MG BROMAZEPAM,medicine_showdetail.php?sn=A034848100
LEXOTAN TABLETS 1.5MG BROMAZEPAM,medicine_showdetail.php?sn=A034849100
TILCOTIL F.C. TABLETS 20MG TENOXICAM,medicine_showdetail.php?sn=A034850100
VALIUM TABLETS 5MG DIAZEPAM,medicine_showdetail.php?sn=A034851100
EVERETA S.C. TABLET,medicine_showdetail.php?sn=A034856100
PACOALON CAPSULES,medicine_showdetail.php?sn=A034859100
AMSOL TABLETS 30MG,medicine_showdetail.php?sn=A034862100
CAPTOLIN TABLETS 25MG CAPTOPRIL KOJAR,medicine_showdetail.php?sn=A034880100
ERYTHROMYCIN ETHYLS,medicine_showdetail.php?sn=A034885100
SUWELL TABLETS EVE,medicine_showdetail.php?sn=A034886100
MADOPAR CAPSULES 125MG,medicine_showdetail.php?sn=A034888100
MADOPAR CAPSULES 125MG,medicine_showdetail.php?sn=A034888100
MOGADON TABLETS 5MG NITRAZEPAM,medicine_showdetail.php?sn=A034889100
VALIUM TABLETS 2MG DIAZEPAM,medicine_showdetail.php?sn=A034890100
SUWEILIN TABLET 400,medicine_showdetail.php?sn=A034891100
VOLTON ENTERIC-COATED TABLETS 50MG DICLOFENAC 'H.S.',medicine_showdetail.php?sn=A034898100
DOXYCYCLINE CAPSULE,medicine_showdetail.php?sn=A034900100
TENADINE TABLETS 60MG TERFENADINE 'S.S.P.',medicine_showdetail.php?sn=A034920100
GLIN TABLETS 2.5MG TERBUTALINE SULFATE,medicine_showdetail.php?sn=A034922100
CEFADROXIL CAPSULE,medicine_showdetail.php?sn=A034938100
SHITAN TABLETS 8MG,medicine_showdetail.php?sn=A034950100
HAUANMIN TABLETS 0.25MG TRIAZOLAM'CHIN TENG',medicine_showdetail.php?sn=A034952100
MADOPAR TABLETS 250MG,medicine_showdetail.php?sn=A034960100
MADOPAR TABLETS 250MG,medicine_showdetail.php?sn=A034960100
DORMICUM F.C. TABLETS 7.5MG MIDAZOLAM,medicine_showdetail.php?sn=A035002100
OXYTYNIN TABLETS 5M,medicine_showdetail.php?sn=A035009100
MEBHYLIN F.C. TABLETS 50MG MEBHYDROLINE 'N.W.',medicine_showdetail.php?sn=A035042100
KOZEN E.F.C. TABLET,medicine_showdetail.php?sn=A035043100
PEPTASE 5MG E.F.C.,medicine_showdetail.php?sn=A035058100
AMGICOL 30MG TABLET,medicine_showdetail.php?sn=A035060100
BLASEC TABLETS 5MG,medicine_showdetail.php?sn=A035069100
BENZARONE TABLETS 1,medicine_showdetail.php?sn=A035087100
MADOPAR CAPSULES 250MG,medicine_showdetail.php?sn=A035115100
CIMETIN TABLETS 300,medicine_showdetail.php?sn=A035159100
LEFENINE F.C. TABLETS 100MG FLURBIPROFEN 'C.H.',medicine_showdetail.php?sn=A035179100
TUSOLOC TABLETS 2.5MG TERBUTALINE SULFATE 'S.S.P.',medicine_showdetail.php?sn=A035184100
SIMETHICONE TABLETS,medicine_showdetail.php?sn=A035212100
SALINE S.C. TABLETS 50MG NICAMETATE EVEREST,medicine_showdetail.php?sn=A035213100
HISLOC TABLETS 10MG ASTEMIZOLE 'H.S.',medicine_showdetail.php?sn=A035234100
SULNINE CAPSULES 10MG OXAZOLAM 'EVEREST',medicine_showdetail.php?sn=A035256100
COSY CAPSULES,medicine_showdetail.php?sn=A035268100
OS-CAL F.C. TABLETS,medicine_showdetail.php?sn=A035272100
MAGAN TABLETS 400MG,medicine_showdetail.php?sn=A035280100
POWEGON F.C.T. 400M,medicine_showdetail.php?sn=A035282100
HAGEN TABLETS 30MG DILTIAZEM HYDROCHLORDE KOJAR,medicine_showdetail.php?sn=A035286100
PARTANE TABLETS 5MG TRIHEXYPHENIDYL HYDROCHLORIDE 'S.S.P.',medicine_showdetail.php?sn=A035355100
UMINE TABLETS 10MG ASTEMIZOLE HYDROCHLORIDE 'KOJAR',medicine_showdetail.php?sn=A035357100
WESIPIN F.C.TABLETS 100MG ATENOLOL EVEREST,medicine_showdetail.php?sn=A035367100
TAMOZEN ENTERIC FIL,medicine_showdetail.php?sn=A035396100
LOWALIN TABLETS AS,medicine_showdetail.php?sn=A035400100
SMARTEN TABLETS 25MG CAPTOPRILH.S.,medicine_showdetail.php?sn=A035420100
LIBRIUM S.C. TABLETS 5MG CHLORDIAZEPOXIDE,medicine_showdetail.php?sn=A035426100
ANSMIN TABLET 10MG ASTEMIZOLE 'SINTON',medicine_showdetail.php?sn=A035432100
SEGININE TABLETS 5MG SELEGILINE 'S.S.P.',medicine_showdetail.php?sn=A035462100
DECO TABLETS 20MG,medicine_showdetail.php?sn=A035463100
NEWIN TABLETS 5MG,medicine_showdetail.php?sn=A035467100
ASTOLE TABLETS 10MG ASTEMIZOLE'YY',medicine_showdetail.php?sn=A035469100
PADALIN TABLETS 100MG MEBEVERINE 'S.S.P.',medicine_showdetail.php?sn=A035477100
BACLOFEN TABLETS 5MG 'C.H.',medicine_showdetail.php?sn=A035502100
EYZU F.C. TABLETS 0.625MG CONJUGATED ESTROGENS 'CHINTENG',medicine_showdetail.php?sn=A035506100
MYLIN F.C. TABLETS 9.6MG GINKGOFLAVON GLYCOSIDE S.D.,medicine_showdetail.php?sn=A035515100
LACEF CAPSULES 250M,medicine_showdetail.php?sn=A035519100
IPROFEN 400MG F.C.T 'ROYAL',medicine_showdetail.php?sn=A035649100
GLUCOMINE F.C. TABLETS 250MG METFORMIN 'P.L.',medicine_showdetail.php?sn=A035665100
SULAN TABLETS 100MG FLURBIPROFEN 'N.W.',medicine_showdetail.php?sn=A035672100
DOXYMYCIN ENTERIC C,medicine_showdetail.php?sn=A035692100
FRAGIVIX TABLETS 10,medicine_showdetail.php?sn=A035702100
BONSTAN F.C. TABLET 500MG MEFENAMIC ACID 'EVEREST',medicine_showdetail.php?sn=A035705100
E.CAL TABLETS 950MG CALCIUM CITRATE 'S.S.P.',medicine_showdetail.php?sn=A035811100
BECANTEX S.C.TABLET,medicine_showdetail.php?sn=A035817100
CAPROINE TABLETS 50MG ROYAL CAPTOPRIL,medicine_showdetail.php?sn=A035836100
SEPHROS CAPSULES 50,medicine_showdetail.php?sn=A035844100
MINOCYCLINE CAPSULE,medicine_showdetail.php?sn=A035868100
CLINDAMYCIN HYDROCH,medicine_showdetail.php?sn=A035890100
AJULATE SOFT CAPSULE 10MG F.M. NIFEDIPINE,medicine_showdetail.php?sn=A035891100
DIBENYLINE CAPSULES 10MG PHENOXYBENZAMINE HYDROCHLORIDE,medicine_showdetail.php?sn=A035912100
DEGOUT TABLETS 50MG BENZBROMARONE 'H.S.',medicine_showdetail.php?sn=A035986100
IBUPROFEN TABLETS 400MG 'ASTAR',medicine_showdetail.php?sn=A036004100
TEGRETOL TABLETS 200MG CARBAMAZEPINE,medicine_showdetail.php?sn=A036020100
B.B. CAP. 150MG CL,medicine_showdetail.php?sn=A036047100
CLEDOMYCIN CAPSULES,medicine_showdetail.php?sn=A036072100
RIVOTRIL TABLETS 0.5MG CLONAZEPAM,medicine_showdetail.php?sn=A036079100
CERO CAPSULES 250MG CAFACLOR S.T.,medicine_showdetail.php?sn=A036082100
SPUTANT TABLET,medicine_showdetail.php?sn=A036095100
TERDINE TABLET 'CUVIE',medicine_showdetail.php?sn=A036096100
DICLOFENAC E.F.C. TABLETS 25MG 'KOJAR',medicine_showdetail.php?sn=A036099100
DICLOFENAC E.F.C. TABLETS 25MG 'KOJAR',medicine_showdetail.php?sn=A036099100
MUBROXOL TABLETS 30,medicine_showdetail.php?sn=A036151100
RIVOTRIL TABLETS 2MG CLONAZEPAM,medicine_showdetail.php?sn=A036175100
B.B CAPSULE 300MG CLINDAMYCIN,medicine_showdetail.php?sn=A036188100
BETADINE TABLETS 12,medicine_showdetail.php?sn=A036195100
BICANOL TABLETS 500MG METFORMIN 'CHINTENG',medicine_showdetail.php?sn=A036204100
PARKRYL TABLETS 'M.S.'SELEGILINE,medicine_showdetail.php?sn=A036215100
LINTON F.C. TABLETS 10MG 'KOJAR' HYOSCINE BUTYLBROMIDE,medicine_showdetail.php?sn=A036237100
TIMEPIN TABLETS 30MG 'H.S.' TIMEPIDIUM,medicine_showdetail.php?sn=A036241100
TAMEDIN F.C. TABLET,medicine_showdetail.php?sn=A036247100
LEFENINE TABLET 100MG FLURBIPROFEN 'C.H.',medicine_showdetail.php?sn=A036248100
ELTROXIN TABLETS 100MCG THYROXINE SODIUM,medicine_showdetail.php?sn=A036263100
MELICIN CAPSULES 10,medicine_showdetail.php?sn=A036266100
ANAZIN TABLETS 50MG FLURBIPROFEN 'SHOU CHAN',medicine_showdetail.php?sn=A036267100
CYCLIN CAPSULE 100M,medicine_showdetail.php?sn=A036281100
ETHOS CAPSULES 100MG MECLOFENAMIC ACID,medicine_showdetail.php?sn=A036322100
GLURENORM TABLETS 30MG GLIQUIDONE,medicine_showdetail.php?sn=A036340100
UFORMIN TABLETS 500MG,medicine_showdetail.php?sn=A036349100
TIDACT CAPSULES 300,medicine_showdetail.php?sn=A036356100
VORTAGEN E.C. TABLETS 50MG 'EVEREST' DICLOFENAC,medicine_showdetail.php?sn=A036360100
PANADOL COLD & FLU CAPLETS,medicine_showdetail.php?sn=A036364100
AMITON TABLETS H.S.,medicine_showdetail.php?sn=A036367100
GOLIN TABLETS 10MG ASTEMIZOLE 'YUNG SHIN',medicine_showdetail.php?sn=A036376100
MESCO CAPSULES 500UG MECOBALAMIN 'YY',medicine_showdetail.php?sn=A036385100
LEGAFEN TABLETS BACLOFEN 'Y.C',medicine_showdetail.php?sn=A036389100
MENCHUAN TABLET 100MG TICLOPIDINE 'SWISS',medicine_showdetail.php?sn=A036396100
STAYBAN TABLETS 50MG FLURBIPROFEM,medicine_showdetail.php?sn=A036403100
KERFENMYCIN CAPSULE,medicine_showdetail.php?sn=A036425100
KERFENMYCIN CAPSULE,medicine_showdetail.php?sn=A036426100
CIRCULON F.C. TABLETS 9.6MG B&FGINKGOFLAVON GLYCOSIDES,medicine_showdetail.php?sn=A036475100
CLEAROL CAPSULES 30,medicine_showdetail.php?sn=A036483100
SUNPYLON TABLETS 50MG 'S.S.P.' SULPIRIDE,medicine_showdetail.php?sn=A036506100
OFLOCIN F.C. TABLET,medicine_showdetail.php?sn=A036508100
CULIUM TABLET 3MG 'CURIE' BROMAZEAM,medicine_showdetail.php?sn=A036542100
GINKGO F.C.TABLETS 40MG GINKGOFLAVONGLYCOSIDE C.H.,medicine_showdetail.php?sn=A036588100
TOWELL TABLETS EVE,medicine_showdetail.php?sn=A036600100
TOP-CAL TABLETS 500MG 'H.S.'CALCIUM CARBONATE,medicine_showdetail.php?sn=A036642100
ATROGEM TABLETS 200MG TIAPROFENIC ACID 'S.S.P.',medicine_showdetail.php?sn=A036644100
DEDEMA E.F.C. TABLE,medicine_showdetail.php?sn=A036668100
DAKNADIRN CAOSYKES30MG FLURAZEPAM,medicine_showdetail.php?sn=A036677100
LISACEF CAPSULES 250MG CEPHRADINE S.T.,medicine_showdetail.php?sn=A036693100
SIMAGAL CHEWABLE TA,medicine_showdetail.php?sn=A036697100
SOMA CAPSULES 'STANDARD',medicine_showdetail.php?sn=A036749100
TICLOPIDINE TABLETS 250MG 'S.F.',medicine_showdetail.php?sn=A036756100
COUDE CAPSULES S.D,medicine_showdetail.php?sn=A036757100
ASFEN TABLETS 1MG KETOTIFEN 'STANDARD',medicine_showdetail.php?sn=A036785100
CAPDON TABLETS 25MG STANDARD CAPTOPRIL,medicine_showdetail.php?sn=A036788100
PROCAL TABLETS 667MG CALCIUM ACETATE 'PL',medicine_showdetail.php?sn=A036794100
CONJUESTROGEN S.C TABLETS 0.625MG CONJUGATED ESTROGEN,medicine_showdetail.php?sn=A036836100
BENDOPA CAPSULES 'WEIDAR',medicine_showdetail.php?sn=A036840100
THIAMCOL CAPSULES 2,medicine_showdetail.php?sn=A036890100
HOU WE MING F.C. TA,medicine_showdetail.php?sn=A036892100
IMINZIN TABLET 50MG MEBHYDROLINE 'SINTON',medicine_showdetail.php?sn=A036906100
CEFACLOR CAPSULE 25,medicine_showdetail.php?sn=A036928100
SEDAMIN F.C. TABLETS 100MG. ATENOLOL C.C.P.C.,medicine_showdetail.php?sn=A036935100
MERO CAPSULE 100MG,medicine_showdetail.php?sn=A036940100
BIPIDEN TABLET 2MG BIPERIDEN 'SWISS',medicine_showdetail.php?sn=A036944100
UROBENIN S.C. TABLE,medicine_showdetail.php?sn=A036964100
CARTIL TABLETS 30MG DILTIAZEM HYDROCHLORIDE S.Y.,medicine_showdetail.php?sn=A036966100
CLINDAMYCIN CAPSULE,medicine_showdetail.php?sn=A036971100
SERASE ENTERIC F.C.,medicine_showdetail.php?sn=A037060100
SERASE ENTERIC F.C.,medicine_showdetail.php?sn=A037061100
LISACEF CAPSULES 500MG S.T. CAPHRADINE,medicine_showdetail.php?sn=A037125100
LIVERIN CAPSULE 'N.W.',medicine_showdetail.php?sn=A037136100
BEFON TABLETS 10MG 'M.S.' BACLOFEN,medicine_showdetail.php?sn=A037140100
BEFON TABLETS 5MG BACLOFEN 'M.S.',medicine_showdetail.php?sn=A037141100
MEHYMINE TABLETS 50MG MEBHYDROLIN 'CHINTENG',medicine_showdetail.php?sn=A037157100
SIN TONG E.F.C TABLETS 100MG PENTOXYFYLLINE 'CHINTENG',medicine_showdetail.php?sn=A037166100
RINA CAPSULES 'P.L.',medicine_showdetail.php?sn=A037167100
ANO TABLETS 10MG RITODRINE HYDROCHLORIDE 'S.T.',medicine_showdetail.php?sn=A037196100
SWIFLOR CAPSULES 25,medicine_showdetail.php?sn=A037197100
CALATEC TABLETS 25MG CAPTOPRIL,medicine_showdetail.php?sn=A037204100
COUGHNIN TABLET 20M,medicine_showdetail.php?sn=A037210100
ASMALIN TABLETS 2.5MG FENOTEROL,medicine_showdetail.php?sn=A037224100
WECOLI TABLETS 25MG BETHANECHOL CHLORIDE 'YY',medicine_showdetail.php?sn=A037225100
CEFACLOR CAPSULES 2,medicine_showdetail.php?sn=A037227100
CINTSU S.R.F.C. TABLETS 240MG VERAPAMIL YUNG SHIN,medicine_showdetail.php?sn=A037229100
ANLITON TABLETS 'EVEREST',medicine_showdetail.php?sn=A037249100
DEGITON F.C. TABLETS 400MG IBUPROFEN 'ROOT',medicine_showdetail.php?sn=A037257100
BOKEY ENTERIC-MICROENCAPSULATED CAPSULES 100MGASPIRIN,medicine_showdetail.php?sn=A037344100
HOPAN TABLETS 0.5MG HALOPERIDOL 'KOJAR',medicine_showdetail.php?sn=A037352100
SULORIL TABLETS 200MG SULINDAC 'WEIDAR',medicine_showdetail.php?sn=A037376100
TRIMSOAN TABLETS 3MG TRIMETOQUINOL 'CHINTENG',medicine_showdetail.php?sn=A037378100
U-SAVE CAPSULES 500,medicine_showdetail.php?sn=A037390100
BRANDYL TABLETS 2.5MG TERBUTALINE SULFATE 'C.C.P.C.',medicine_showdetail.php?sn=A037396100
BRANDYL TABLETS 2.5MG TERBUTALINE SULFATE 'C.C.P.C.',medicine_showdetail.php?sn=A037396100
SULTON TABLETS 200MG SULINDAC 'SINTON',medicine_showdetail.php?sn=A037400100
EFACO TABLETS 20MG,medicine_showdetail.php?sn=A037402100
BIPERIN TABLETS 2MG BIPERIDEN 'UNION',medicine_showdetail.php?sn=A037441100
YENPIN TABLET 400MG,medicine_showdetail.php?sn=A037447100
FUYEN TABLET 200MG TIAPROFENIC ACID 'SINTON',medicine_showdetail.php?sn=A037451100
SELEGYL TABLETS 5MG DEPRENYL 'SWISS',medicine_showdetail.php?sn=A037497100
VICIN CAPSULE 150MG,medicine_showdetail.php?sn=A037556100
ERA TABLET 0.25MG FLUDIAZEPAM 'T.T.Y.',medicine_showdetail.php?sn=A037577100
CHINGTAN TABLETS 60,medicine_showdetail.php?sn=A037581100
GINKOBA F.C.TABLETS 9.6MG GINKGOFLAVONGLYCOSIDE ROYAL,medicine_showdetail.php?sn=A037586100
NAFXEN TABLETS 500MG NAPROXEN 'TAI YU',medicine_showdetail.php?sn=A037595100
FAMODINE F.C. TABLE,medicine_showdetail.php?sn=A037601100
VALTAFEN ENTERIC F.C. TABLET 50MG 'SINPHAR'DICLOFENAC,medicine_showdetail.php?sn=A037603100
TONLISU TABLET 50MG FLURBIPROFEN 'SINTON',medicine_showdetail.php?sn=A037605100
OSIN S.C TABLETS 25MG KOJAR DIPYRIDAMOLE,medicine_showdetail.php?sn=A037644100
SEAPRO CAPSULES 10M,medicine_showdetail.php?sn=A037652100
TENSIONLEX TABLETS 100MG ORHENADRINE CITRATE 'PANBIOTIC',medicine_showdetail.php?sn=A037661100
BEENRONE TABLETS 50MG BENZBROMARONE 'YUNG SHIN',medicine_showdetail.php?sn=A037679100
ANLIN CAPSULES 10MG OXAZOLAM 'CHINTENG',medicine_showdetail.php?sn=A037680100
GEMD FILM COATED TA,medicine_showdetail.php?sn=A037685100
SENIN FILM-COATED TABLET 9.6MG RURZERGINKGOFLAVONGLYCOSIDES,medicine_showdetail.php?sn=A037687100
AELOCON S.C. TABLETS 'EVEREST',medicine_showdetail.php?sn=A037689100
HOPAN TABLETS 5MG HALOPERIDOL 'KOJAR',medicine_showdetail.php?sn=A037696100
PEDOLIN F.C. TABLET,medicine_showdetail.php?sn=A037703100
URSOLIC TABLETS 100,medicine_showdetail.php?sn=A037720100
ACECAINE TABLETS 'P.L.',medicine_showdetail.php?sn=A037807100
NAPOFEN TABLETS 200MGFENBUFEN,medicine_showdetail.php?sn=A037809100
APUZIN TABLETS 50MG CAPTOPRIL,medicine_showdetail.php?sn=A037833100
CEFANATE CAPSULES 5,medicine_showdetail.php?sn=A037899100
ATENOL F.C. TABLETS 100MG ATENOLOL WEIDAR,medicine_showdetail.php?sn=A037928100
SYNOTEC TABLETS 200MG TIAPROFENIC ACID,medicine_showdetail.php?sn=A037934100
CIMETIN F.C. TABLET,medicine_showdetail.php?sn=A037945100
GOUTIL TABLETS 50MG BENZBROMARONE,medicine_showdetail.php?sn=A037988100
MODIPANOL TABLET 2MG FIUNITRAZEPAM 'SWISS',medicine_showdetail.php?sn=A037997100
GEM-S F.C. TABLETS 600MG GEMFIBROZIL S.T.,medicine_showdetail.php?sn=A038016100
REN SR FILM COATED TABLETS 100MG DICLOFENAC 'YUNG SHIN',medicine_showdetail.php?sn=A038019100
AEZOC E.C. TABLET 5,medicine_showdetail.php?sn=A038020100
FUAN TABLETS 5MG MEDROXYPROGESTERONE 'CHINTENG',medicine_showdetail.php?sn=A038055100
BENZU TABLETS 3MG BROMAZEPAM 'CHINTENG',medicine_showdetail.php?sn=A038076100
TENGEN TABLETS 'S.S.P.',medicine_showdetail.php?sn=A038091100
SALALIN TABLETS 250MG CHLORZOXAZONE'KOJAR',medicine_showdetail.php?sn=A038132100
AJULATE SOFT CAPSULES 5MG NIFEDIPINE F.M.,medicine_showdetail.php?sn=A038154100
ERYTHROMYCIN F.C. T,medicine_showdetail.php?sn=A038158100
TIAP TABLET 200MG TIAPROFENIC ACID 'SWISS',medicine_showdetail.php?sn=A038164100
COHEAL CAPSULES ST,medicine_showdetail.php?sn=A038180100
YIPA CAPSULES 0.5MG MECOBALAMIN 'KOJAR',medicine_showdetail.php?sn=A038186100
HEARTQUINONE CAPSULES 10MG UBIDECARENONE S.D.,medicine_showdetail.php?sn=A038194100
CABUDAN TABLETS 25MG CAPTOPRIL S.Y.,medicine_showdetail.php?sn=A038204100
SERRALO E.F.C. TABL,medicine_showdetail.php?sn=A038209100
PROCANPEN S.C TABLE,medicine_showdetail.php?sn=A038235100
HOPAN TABLETS 10MG HALOPERIDOL 'KOJAR',medicine_showdetail.php?sn=A038244100
DEMINE TABLETS 5MG MEQUITAZINE 'N.W.',medicine_showdetail.php?sn=A038263100
ANSOLIN TABLET 5MG HALOPERIDOL 'GCPC',medicine_showdetail.php?sn=A038280100
ANSOLIN TABLET 100MG HALOPERIDOL 'GCPC',medicine_showdetail.php?sn=A038281100
THIAMPHENICOL CAPSU,medicine_showdetail.php?sn=A038286100
KAPOS TAB. 250MG,medicine_showdetail.php?sn=A038295100
GEMNPID F.C. TABLET,medicine_showdetail.php?sn=A038296100
TRENTEC TABLETS 2.5MG FENOTEROL HYDROBROMIDE 'YU SHENG',medicine_showdetail.php?sn=A038314100
V-COME CAPSULES 'VPP',medicine_showdetail.php?sn=A038333100
MEDECOUGH CAPSULES,medicine_showdetail.php?sn=A038357100
STOGAMET F.C. TABLE,medicine_showdetail.php?sn=A038419100
GINA'EX F.C. TABLET 9.6MG GINKGOFLAVONGLYCOSIDES AND 2.4MG TERPENLACTONES T.T,medicine_showdetail.php?sn=A038421100
CARTIL TABLETS 60MG DILTIAZEM HYDROCHLORIDE,medicine_showdetail.php?sn=A038422100
ANTIDIA CAPSULES 20,medicine_showdetail.php?sn=A038426100
BUSPAN TABLETS 10MG SCOPOLAMINE BUTYLBROMIDE'S.C',medicine_showdetail.php?sn=A038446100
ACETIN TABLETSS.C.,medicine_showdetail.php?sn=A038450100
TRIMPRIM TABLETS 10,medicine_showdetail.php?sn=A038453100
CIMETIDINE TABLETS,medicine_showdetail.php?sn=A038454100
KOMPIMIN TABLETS S,medicine_showdetail.php?sn=A038462100
ASTHMA TABLETS S.C,medicine_showdetail.php?sn=A038464100
DIALICON TABLETS S,medicine_showdetail.php?sn=A038465100
KOBAMIN TABLETS S.,medicine_showdetail.php?sn=A038466100
SPANIL TABLETS 135MG MEBEVERINE HYDROCHLORIDE 'ROYAL',medicine_showdetail.php?sn=A038474100
GINKGO BILOBA F.C. TABLETS 9.6MG GINKGOFLAVONGLYCOSIDERO OT,medicine_showdetail.php?sn=A038479100
NALODINE F.C. TABLETS 100MG TICLOPIDINE 'ROYAL',medicine_showdetail.php?sn=A038494100
METFORMIN F.C. TABLET 500MG 'KINGDOM',medicine_showdetail.php?sn=A038498100
GLICRON TABLETS 80GM GLICLAZIDE,medicine_showdetail.php?sn=A038500100
KYOMUDYNE F.C. TABL,medicine_showdetail.php?sn=A038506100
